property,r2_val,r2_test,r2_residual,r2_residual_test,delta_test,max_abs_spearman,max_abs_pearson,exclude_as_very_confounded,in_priority_set
HeavyAtomCount,0.9624234085076716,0.9622093320530076,0.3834605969955741,0.3787486219858389,-0.5834607100671686,0.9758552870156556,0.9733298161957404,True,False
BertzCT,0.9307783249144548,0.9302699658744238,0.5618818350408127,0.5646191174984548,-0.3656508483759689,0.9041699836974086,0.8957150480044495,True,False
ExactMolWt,0.9190205949486866,0.9196501516141578,0.3144678693863907,0.3140801050528937,-0.605570046561264,0.9463780754041984,0.939774002093704,True,False
MolWt,0.9184367082851828,0.9190326762937124,0.3173943829861189,0.3170289157419581,-0.6020037605517542,0.9454495248258004,0.9390260974450968,True,False
AromaticRingCount,0.8501589612406022,0.850289245097216,0.653838436290682,0.6576768615154955,-0.1926123835817205,0.7032467178014472,0.6730464901252895,False,True
RingCount,0.8504635991039834,0.8494791791440223,0.51605660121754,0.515359799046009,-0.3341193800980132,0.8814211363495316,0.8511349318126664,True,False
FractionCSP3,0.7843740339777757,0.7861915772042835,0.7116628315983358,0.7161423897043679,-0.0700491874999155,0.3797457316610352,0.4983915458451464,False,True
HBA,0.7578640984919627,0.7602155629413717,0.538126069496792,0.5427455566567325,-0.2174700062846392,0.5972170432481109,0.588609881424333,False,True
TPSA,0.6980644175589721,0.7007663198390472,0.52190062063692,0.5251158023585616,-0.1756505174804856,0.5396708050874623,0.5319141162829567,False,True
cLogP,0.6836257275920429,0.6823806518549012,0.5749561501153055,0.5791111291852775,-0.1032695226696236,0.5705253804861335,0.5526826514917196,False,True
NumRotatableBonds,0.4879104646867747,0.4820894635095832,0.2003232360242339,0.2007172991717444,-0.2813721643378388,0.507344656047942,0.4364952021408333,False,False
QED,0.3479931816412616,0.3455114998345507,0.2833374265448467,0.2788508550321406,-0.0666606448024101,0.2986914495783682,0.3107902963703919,False,True
HBD,0.2553599972793893,0.2627469162380845,0.2184845162899652,0.2226241910891507,-0.0401227251489337,0.2132317170410927,0.2022653485195625,False,True
NumBridgeheadAtoms,0.0737561816003578,0.0816258353713842,0.0424254362263618,0.0489906335113986,-0.0326352018599855,0.0869526266512537,0.0985525922650856,False,True
NumSpiroAtoms,0.052162071890802,0.051280046832509,0.0368893580733563,0.0358320349132473,-0.0154480119192617,0.0850305946554144,0.0875649646550908,False,True
