property,r2_val,r2_test,alpha
MolWt,0.9505419704615269,0.9502464934580057,1.0
ExactMolWt,0.9507941503207621,0.9505179041426913,1.0
HeavyAtomCount,0.9758274151660903,0.9758667720705303,1.0
cLogP,0.7718760226138984,0.7698916514829187,3.1622776601683795
TPSA,0.7770232664538331,0.7764997034127077,1.0
HBD,0.34266129079163066,0.3518193448963012,3.1622776601683795
HBA,0.7974852256283198,0.7998497964922102,3.1622776601683795
NumRotatableBonds,0.5685631653331689,0.5658932827328741,3.1622776601683795
RingCount,0.8931691509531121,0.8917908503122854,1.0
AromaticRingCount,0.8855692178323136,0.8854645893180981,1.0
FractionCSP3,0.8579794750582268,0.8586884479786605,1.0
NumSpiroAtoms,0.06840258446064063,0.06656514395069246,31.622776601683793
NumBridgeheadAtoms,0.10497562519344406,0.10696254204540656,10.0
BertzCT,0.9503432643682812,0.9493828451670493,1.0
QED,0.4306225712427907,0.4308440375544532,3.1622776601683795
